Country Name,Country Code,2013,2014,2015,2016,2017,2018,2019
Rwanda,RWA,13.4,12.6,14.5,15,16,18,19.4
India,INR,21,24,25,29,24,23,22
Afghanistan,AFG,20.6,20.9,19.7,21.1,20.8,21,22.6
Angola,AGO,10.8,10.7,10.7,10.6,10.5,10.8,11
Albania,ALB,25.799999,27,28.3,28.7,29.2,29.7,31
Arab,ARB,25.022214,28.11752,29.11321,29.33531,29.70457,29.90712,30.0076
United Arab Emirates,ARE,9.800002,9.8,9.8,9.9,10,10.3,10.8
Argentina,ARG,19.5,18.8,18.4,19.7,21.3,21.7,21.9
Armenia,ARM,38.299999,38.7,35,32.5,35.1,34.2,33.8
Austrailia,AUS,11.4,11.4,11.7,12.2,13.1,13.3,13.9
Austria,AUT,8.80000002,8.2,8.7,9.1,9.2,9.4,9.8
Azerbaijan,AZE,14.6,14.5,14.3,13.4,13.6,13.8,13.2
Burundi,BDI,10.8,10.8,10.8,10.8,10.7,10.9,10.1
Belgium,BEL,22.5,18.6,19.7,23.1,23.6,23.5,22.6
Benin,BEN,2,2,2,1.8,1.7,2.1,1.8
Burkina Faso,BFA,5.1999998,5.3,5.2,5.2,5,5.3,5.8
Bangladesh,BGD,8.1199998,8.2,8.2,8.9,9.1,9.3,9.8
Bulgaria,BGR,22.9,25.2,28.2,29.7,25.9,26.1,25.8
Bahrain,BHR,10.2,11.4,10.5,10.6,10.9,11.2,11
Bahmas,BHS,36,27.2,30.4,30.8,30.1,29.8,29
Bosnia and Herzegovina,BIH,57.200001,57.1,61.7,57.4,57.5,58.1,57.8
Belarus,BLR,13.2,12.5,11.8,12,12,12.4,12.1
Belize,BLZ,20.9,24.3,26,22.4,22,22.8,22.1
